"spec" "x" "y" "age" "loc_id" "optional"
"17" "Adcrocuta_eximia" 49.15 40.97 9.04 "a295" TRUE
"18" "Deinotherium_giganteum" 49.15 40.97 9.04 "a295" TRUE
"35" "Microstonyx_major" 32.22 40.99 9.1 "a85" TRUE
"36" "Acerorhinus_zernowi" 32.22 40.99 9.1 "a85" TRUE
"37" "Ceratotherium_neumayri" 32.22 40.99 9.1 "a85" TRUE
"38" "Chilotherium_habereri" 32.22 40.99 9.1 "a85" TRUE
"39" "Chilotherium_kiliasi" 32.22 40.99 9.1 "a85" TRUE
"40" "Bohlinia_attica" 32.22 40.99 9.1 "a85" TRUE
"41" "Palaeotragus_coelophrys" 32.22 40.99 9.1 "a85" TRUE
"42" "Deinotherium_giganteum" 32.22 40.99 9.1 "a85" TRUE
"43" "Palaeoreas_asiaticus" 32.22 40.99 9.1 "a85" TRUE
"44" "Prostrepsiceros_elegans" 32.22 40.99 9.1 "a85" TRUE
"45" "Pseudotragus_capricornis" 32.22 40.99 9.1 "a85" TRUE
"49" "Conohyus_sindiensis" 82.95 23.64 9.15 "a3317" TRUE
"50" "Listriodon_splendens" 29.13 38.61 9.15 "a87" TRUE
"51" "Acerorhinus_zernowi" 34.64 38.52 9.15 "a86" TRUE
"52" "Acerorhinus_zernowi" 29.13 38.61 9.15 "a87" TRUE
"53" "Ceratotherium_neumayri" 31.01 38.17 9.15 "a2942" TRUE
"54" "Ceratotherium_neumayri" 35.3 38.56 9.15 "a2943" TRUE
"55" "Ceratotherium_neumayri" 28.47 40.11 9.15 "a2944" TRUE
"57" "Ceratotherium_neumayri" 29.13 38.61 9.15 "a87" TRUE
"58" "Chilotherium_habereri" 30.31 38.42 9.15 "a3238" TRUE
"59" "Chilotherium_schlosseri" 28.47 40.11 9.15 "a2944" TRUE
"60" "Dihoplus_schleiermacheri" 58.66 49.07 9.15 "a3799" TRUE
"61" "Subchilotherium_intermedium" 29.13 38.61 9.15 "a87" TRUE
"62" "Bohlinia_attica" 31.82 40.83 9.15 "a1904" TRUE
"63" "Giraffokeryx_punjabiensis" 82.95 23.64 9.15 "a4481" TRUE
"67" "Gazella_gaudryi" 34.61 39.19 9.15 "a4433" TRUE
"68" "Palaeoreas_lindermayeri" 34.61 39.19 9.15 "a4433" TRUE
"69" "Sivoreas_eremita" 82.95 23.64 9.15 "a4481" TRUE
"88" "Indarctos_arctoides" 2.45 44.64 9.25 "a37" TRUE
"89" "Indarctos_atticus" 1.12 41.79 9.25 "a36" TRUE
"92" "Dorcatherium_jourdani" 3.9 46.03 9.25 "a3891" TRUE
"93" "Dorcatherium_naui" 1.12 41.79 9.25 "a36" TRUE
"94" "Chleuastochoerus_stehlini" 101.82 35.74 9.25 "a3253" TRUE
"95" "Chleuastochoerus_stehlini" 100.34 34.61 9.25 "a71" TRUE
"98" "Microstonyx_major" -1.98 40.61 9.25 "a27" TRUE
"99" "Microstonyx_major" -1.89 40.87 9.25 "a29" TRUE
"100" "Microstonyx_major" 49.15 40.97 9.25 "a299" TRUE
"101" "Microstonyx_major" -2.04 40.87 9.25 "a30" TRUE
"102" "Microstonyx_major" -0.04 40.88 9.25 "a31" TRUE
"103" "Microstonyx_major" 27.56 47.84 9.25 "a3594" TRUE
"104" "Microstonyx_major" 15.4 48.13 9.25 "a3595" TRUE
"105" "Microstonyx_major" 1.12 41.79 9.25 "a36" TRUE
"106" "Microstonyx_major" 2.45 44.64 9.25 "a37" TRUE
"107" "Microstonyx_major" 29.02 47.28 9.25 "a38" TRUE
"108" "Microstonyx_major" 32.66 47.24 9.25 "a4444" TRUE
"109" "Microstonyx_major" -1.88 40.27 9.25 "a4753" TRUE
"110" "Parachleuastochoerus_crusafonti" 1.09 41.78 9.25 "a35" TRUE
"111" "Propotamochoerus_palaeochoerus" 1.09 41.78 9.25 "a35" TRUE
"112" "Aceratherium_incisivum" -1.98 40.61 9.25 "a27" TRUE
