spec	x	y	age	loc_id
Dinohippus_leidyanus	-101.27	41.43	9.0000	a3833
Hemiauchenia_vera	-101.27	41.43	9.0000	a3833
Machairodus_coloradensis	-101.27	41.43	9.0000	a3833
Nannippus_lenticularis	-101.27	41.43	9.0000	a3833
Teleoceras_fossiger	-101.27	41.43	9.0000	a3833
Aelurodon_taxoides	-121.93	37.83	9.0300	a389
Barbourofelis_lovei	-121.93	37.83	9.0300	a389
Bassariscus_parvus	-121.93	37.83	9.0300	a389
Borophagus_littoralis	-121.93	37.83	9.0300	a389
Dinohippus_leardi	-121.93	37.83	9.0300	a389
Gomphotherium_productum	-121.93	37.83	9.0300	a389
Hipparion_forcei	-121.93	37.83	9.0300	a389
Leptarctus_wortmani	-121.93	37.83	9.0300	a389
Leptocyon_vafer	-121.93	37.83	9.0300	a389
Merychyus_major	-121.93	37.83	9.0300	a389
Nimravides_catocopis	-121.93	37.83	9.0300	a389
Adcrocuta_eximia	49.15	40.97	9.0400	a295
Deinotherium_giganteum	49.15	40.97	9.0400	a295
Aphelops_mutilus	-80.65	28.98	9.0500	a1253
Borophagus_orc	-80.65	28.98	9.0500	a1253
Borophagus_pugnator	-80.65	28.98	9.0500	a1253
Calippus_maccartyi	-80.65	28.98	9.0500	a1253
Dinohippus_interpolatus	-98.14	21.00	9.0500	a3825
Enhydritherium_terraenovae	-80.65	28.98	9.0500	a1253
Hexameryx_simpsoni	-80.65	28.98	9.0500	a1253
Hipparion_tehonense	-80.65	28.98	9.0500	a1253
Hippotherium_ingenuum	-80.65	28.98	9.0500	a1253
Nannippus_aztecus	-80.65	28.98	9.0500	a1253
Nannippus_morgani	-80.65	28.98	9.0500	a1253
Neohipparion_eurystyle	-80.65	28.98	9.0500	a1253
Procamelus_grandis	-80.65	28.98	9.0500	a1253
Protohippus_gidleyi	-80.65	28.98	9.0500	a1253
Pseudhipparion_skinneri	-80.65	28.98	9.0500	a1253
Tapirus_simpsoni	-80.65	28.98	9.0500	a1253
Microstonyx_major	32.22	40.99	9.1000	a85
Acerorhinus_zernowi	32.22	40.99	9.1000	a85
Ceratotherium_neumayri	32.22	40.99	9.1000	a85
Chilotherium_habereri	32.22	40.99	9.1000	a85
Chilotherium_kiliasi	32.22	40.99	9.1000	a85
Bohlinia_attica	32.22	40.99	9.1000	a85
Palaeotragus_coelophrys	32.22	40.99	9.1000	a85
Deinotherium_giganteum	32.22	40.99	9.1000	a85
Palaeoreas_asiaticus	32.22	40.99	9.1000	a85
Prostrepsiceros_elegans	32.22	40.99	9.1000	a85
Pseudotragus_capricornis	32.22	40.99	9.1000	a85
Martinogale_alveodens	-97.83	43.09	9.1500	a5658
Neohipparion_eurystyle	-119.60	37.44	9.1500	a6150
Plesiogulo_lindsayi	-119.60	37.44	9.1500	a6150
Conohyus_sindiensis	82.95	23.64	9.1500	a3317
Listriodon_splendens	29.13	38.61	9.1500	a87
Acerorhinus_zernowi	34.64	38.52	9.1500	a86
Acerorhinus_zernowi	29.13	38.61	9.1500	a87
Ceratotherium_neumayri	31.01	38.17	9.1500	a2942
Ceratotherium_neumayri	35.30	38.56	9.1500	a2943
Ceratotherium_neumayri	28.47	40.11	9.1500	a2944
Ceratotherium_neumayri	25.46	40.47	9.1500	a2945
Ceratotherium_neumayri	29.13	38.61	9.1500	a87
Chilotherium_habereri	30.31	38.42	9.1500	a3238
Chilotherium_schlosseri	28.47	40.11	9.1500	a2944
Dihoplus_schleiermacheri	58.66	49.07	9.1500	a3799
Subchilotherium_intermedium	29.13	38.61	9.1500	a87
Bohlinia_attica	31.82	40.83	9.1500	a1904
Giraffokeryx_punjabiensis	82.95	23.64	9.1500	a4481
Cremohipparion_matthewi	25.46	40.47	9.1500	a2945
Hippotherium_primigenium	34.95	0.17	9.1500	a4750
Hippotherium_primigenium	8.32	33.99	9.1500	a4751
Gazella_gaudryi	34.61	39.19	9.1500	a4433
Palaeoreas_lindermayeri	34.61	39.19	9.1500	a4433
Sivoreas_eremita	82.95	23.64	9.1500	a4481
Indarctos_nevadensis	-117.58	39.41	9.2000	a5003
Aphelops_malacorhinus	-98.41	36.41	9.2500	a1229
Aphelops_malacorhinus	-98.41	36.41	9.2500	a1230
Borophagus_pugnator	-98.41	36.41	9.2500	a1229
Borophagus_secundus	-98.41	36.41	9.2500	a1230
Epicyon_haydeni	-98.41	36.41	9.2500	a1229
Epicyon_haydeni	-98.41	36.41	9.2500	a1230
Hemiauchenia_vera	-98.41	36.41	9.2500	a1230
Neohipparion_leptode	-98.41	36.41	9.2500	a1229
Neohipparion_leptode	-98.41	36.41	9.2500	a1230
Pliohippus_nobilis	-98.41	36.41	9.2500	a1229
Pliohippus_nobilis	-98.41	36.41	9.2500	a1230
Prosthennops_serus	-98.41	36.41	9.2500	a1229
Protohippus_gidleyi	-98.41	36.41	9.2500	a1229
Teleoceras_fossiger	-98.41	36.41	9.2500	a1229
Yumaceras_figginsi	-98.41	36.41	9.2500	a1229
Yumaceras_figginsi	-98.41	36.41	9.2500	a1230
Indarctos_arctoides	27.42	40.77	9.2500	a28
Indarctos_arctoides	2.45	44.64	9.2500	a37
Indarctos_atticus	1.12	41.79	9.2500	a36
Dorcabune_anthracotherioides	24.78	34.63	9.2500	a3884
Dorcatherium_jourdani	27.42	40.77	9.2500	a28
Dorcatherium_jourdani	3.90	46.03	9.2500	a3891
Dorcatherium_naui	1.12	41.79	9.2500	a36
Chleuastochoerus_stehlini	101.82	35.74	9.2500	a3253
Chleuastochoerus_stehlini	100.34	34.61	9.2500	a71
Hippopotamodon_antiquus	27.42	40.77	9.2500	a28
